name,neighbourhood,room_type,bedrooms,bathrooms,minimum_nights,price,availability_365,number_of_reviews,review_score,is_superhost
"Sensational South End- 2BR, no stairs, Location!",South End,Entire home/apt,2.0,1.0,28,150.0,157,344,97.0,1
Renovated One Bedroom in Back Bay,Back Bay,Entire home/apt,1.0,1.0,10,170.0,353,288,98.0,1
Sunlit room with private bath,Jamaica Plain,Private room,1.0,1.0,2,90.0,85,181,98.0,1
"Downtown Crossing ARTlab, 1 Bed Apt, Boston",Downtown,Entire home/apt,1.0,1.0,9,100.0,79,77,95.0,1
"""Room with a View""  from ""Top of the Hill""",Roslindale,Private room,1.0,2.0,91,85.0,364,26,96.0,0
"North End, 1 Bed Apt w/ office, Boston",North End,Entire home/apt,1.0,1.0,14,100.0,2,55,94.0,1
Sanitized Modern 3BD private home-near BCEC,South Boston,Entire home/apt,3.0,1.5,1,205.0,300,569,98.0,1
Sunny Private Studio Aptmt,Jamaica Plain,Entire home/apt,1.0,1.0,3,135.0,22,253,99.0,1
"Downtown Crossing ARTlab, 1 Bed Apt, Boston",Downtown,Entire home/apt,1.0,1.0,9,100.0,46,51,92.0,1
Back Bay Charmer,Back Bay,Entire home/apt,1.0,1.0,91,225.0,0,15,96.0,0
Convenient green Victorian,Jamaica Plain,Private room,1.0,1.0,1,75.0,89,65,92.0,0
Quiet Artist's Retreat,Jamaica Plain,Private room,1.0,1.0,2,98.0,296,39,94.0,1
Brownstone Master Bath Suite Park Views by LMA & T,Roxbury,Private room,1.0,1.0,2,127.0,119,315,99.0,1
large & grand 2 bedroom South End by Copley Sq #3,South End,Entire home/apt,2.0,1.0,33,150.0,315,138,96.0,1
Perfect Back Bay 1BR; Walk the City,Back Bay,Entire home/apt,1.0,1.0,91,139.0,176,43,95.0,0
Brownstone Bedroom Treetop Skyline View by LMA & T,Roxbury,Private room,1.0,1.0,2,103.0,159,233,99.0,1
Queen room in a charming villa,Roslindale,Private room,1.0,1.5,2,50.0,237,33,98.0,1
Charming & Historic 2 bed/2 bath w/ private patio,Charlestown,Entire home/apt,2.0,2.0,3,349.0,174,43,98.0,0
Beautiful Philadelphia house near Harvard U. w/ pk,Allston,Entire home/apt,5.0,3.0,28,600.0,365,33,82.0,0
West Roxbury (Boston) private room,West Roxbury,Private room,1.0,1.0,1,55.0,327,210,99.0,1
*$129 SPECIAL* Historic Beauty! Minutes to Center!,Roxbury,Entire home/apt,3.0,1.5,3,272.0,0,88,94.0,1
The Upton Boston - The Copley Suite,South End,Entire home/apt,1.0,1.0,30,134.0,153,17,96.0,1
"Best Boston location, 2BR (M #2)",North End,Entire home/apt,2.0,1.0,28,106.0,357,155,92.0,1
Unique Fenway/Back Bay/Copley 1 Bed,Fenway,Entire home/apt,1.0,1.0,28,169.0,175,170,84.0,0
NEW: Amazing price & location  studio-N End (M1S),North End,Entire home/apt,1.0,1.0,3,95.0,359,102,91.0,1
Lovely private 4 bedroom apt,Jamaica Plain,Entire home/apt,4.0,2.0,2,211.0,335,192,97.0,1
"Hidden Gem in Jamaica Plain, Boston",Jamaica Plain,Private room,1.0,1.0,2,90.0,82,94,100.0,0
2 Bd/Bth Apt Seconds from Mass General Hospital,West End,Entire home/apt,2.0,2.0,30,347.0,141,15,93.0,1
Boston RooftopTerrace/ 2 Bed / By Logan airport,East Boston,Entire home/apt,2.0,1.0,1,250.0,220,194,96.0,1
Charming studio,Brighton,Entire home/apt,1.0,1.0,91,49.0,333,12,100.0,1
Beacon Hill Duplex  2 bedrooms Queen beds sleeps 4,Beacon Hill,Entire home/apt,2.0,1.5,3,280.0,355,67,90.0,1
Historic House modernized,Brighton,Entire home/apt,5.0,2.0,3,300.0,179,116,98.0,1
Spacious Room in Edwardian Home,Brighton,Private room,1.0,1.0,91,65.0,364,22,95.0,1
Charming Victorian Furnished Home,Hyde Park,Entire home/apt,2.0,2.0,91,135.0,270,105,93.0,0
Cosy Celtic Retreat,Brighton,Private room,1.0,1.0,91,65.0,364,25,95.0,1
One Sweet Place,Mattapan,Private room,1.0,1.0,25,25.0,325,18,94.0,1
Private Ensuite Room in Boston,South Boston,Private room,1.0,2.5,3,87.0,352,210,94.0,1
Charming new house-15 min to Boston- yard&parking,Roslindale,Entire home/apt,3.0,2.5,91,215.0,365,195,95.0,0
Modern Beacon Hill 2 Bedroom,Beacon Hill,Entire home/apt,2.0,1.0,2,126.0,0,99,99.0,1
Sunny Duplex Condo + Private Parking,South Boston,Entire home/apt,2.0,1.5,3,295.0,353,116,98.0,1
"Stylish 4BDR Home, Large Kitchen, Free Parking",Allston,Entire home/apt,4.0,2.5,2,329.0,145,219,98.0,0
3rd floor room in Victorian House,Dorchester,Private room,1.0,2.0,2,50.0,327,31,97.0,0
Quiet room - Great location!,Jamaica Plain,Private room,1.0,1.0,30,60.0,296,23,97.0,1
Large room with view on Downtown,South Boston,Private room,1.0,1.0,5,56.0,92,152,92.0,0
Beacon Hill Brownstone,Beacon Hill,Entire home/apt,2.0,1.0,91,147.0,212,23,90.0,1
Stunning SouthEnd/BackBay Penthouse,South End,Entire home/apt,2.0,1.5,3,400.0,335,95,100.0,1
**Studio by Airport and T Station**,East Boston,Entire home/apt,1.0,1.0,60,56.0,125,82,89.0,0
Beautiful 3 bedroom Dorchester MA,Dorchester,Entire home/apt,3.0,1.0,28,105.0,147,259,96.0,1
Quiet  Beauty in Boston,Roslindale,Entire home/apt,2.0,1.0,28,130.0,324,23,92.0,0
City living near the beach!,East Boston,Entire home/apt,2.0,1.0,91,195.0,0,27,97.0,0
$159 Special! *Penthouse Duplex* Close to Center,Mission Hill,Entire home/apt,3.0,2.0,3,289.0,0,112,97.0,1
Private Entrance * King Beds! * Kid Friendly,Back Bay,Entire home/apt,2.0,1.0,2,180.0,22,190,99.0,1
Between BU/BC & great for groups,Brighton,Entire home/apt,2.0,1.0,91,90.0,297,125,88.0,0
"Beacon Hill House, Huge Roof Deck & Encore Casino",Beacon Hill,Entire home/apt,4.0,2.0,91,310.0,167,124,92.0,0
