name,type,borough,street,city,zip_code,state,latitude,longitude,average_rating,num_reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,business_status,range,verified,place_id
Oromo Cafe Bucktown,Coffee shop,Logan Square,1912 N Western Ave,Chicago,60647,Illinois,41.9163122,-87.6876828,4.6,277,11,8,6,28,224,345,OPERATIONAL,$,True,ChIJt9EunxzTD4gRBf7YjI8tNtI
White Castle,Fast food restaurant,Edison Park,7550 N Harlem Ave,Chicago,60631,Illinois,42.0186797,-87.806954,3.8,1555,193,85,212,351,714,218,OPERATIONAL,$,True,ChIJqRnjWv3ID4gRiAlJVs_yhLc
IHOP,Breakfast restaurant,Lake View,3760 N Halsted St,Chicago,60613,Illinois,41.9510634,-87.6499237,3.9,2511,303,132,339,558,1179,858,OPERATIONAL,$,True,ChIJvftgOrfTD4gRvzfIPHJCuNU
White Castle,Fast food restaurant,Dunning,3132 N Harlem Ave,Chicago,60634,Illinois,41.9374916,-87.8070387,3.9,1184,131,71,178,252,552,152,OPERATIONAL,$,True,ChIJB8IJwgfLD4gRXfSYEHQpCKE
White Castle,Fast food restaurant,Douglas,3457 S King Dr,Chicago,60616,Illinois,41.8317103,-87.6164308,3.6,1549,241,107,284,352,565,68,OPERATIONAL,$,True,ChIJHwn-uPUrDogRaQZZ3YqvvSk
Spiteful Brewing Tap Room,Pub,Bowmanville,2024 W Balmoral Ave,Chicago,60625,Illinois,41.9798007,-87.6806468,4.7,396,8,6,4,47,331,330,OPERATIONAL,$,True,ChIJl-yoZPTRD4gRO-xatKf3nNI
LongHorn Steakhouse,Steak house,,3300 W Touhy Ave,Skokie,60076,Illinois,42.0123056,-87.7121585,4.4,2466,101,69,186,529,1581,1404,OPERATIONAL,$$,True,ChIJLXUZ7DPOD4gRSrstCy1WhGU
White Castle,Fast food restaurant,South Side,10301 S Michigan Ave,Chicago,60628,Illinois,41.7069809,-87.619802,3.6,1478,190,128,262,335,563,69,OPERATIONAL,$,True,ChIJowSwPtglDogRvxQdEZ5DTcQ
REEF KABOB مشاوي ريف,Middle Eastern restaurant,,7215 W 103rd St,Palos Hills,60465,Illinois,41.7037973,-87.799464,4.7,1362,85,18,17,44,1198,365,OPERATIONAL,$$,True,ChIJrzM3S0U5DogRtNzSXy1k8v8
White Castle,Fast food restaurant,South Side,6901 S Western Ave,Chicago,60636,Illinois,41.7681889,-87.6825338,3.6,1414,190,119,251,318,536,47,OPERATIONAL,$,True,ChIJoYT1SM8vDogRGKmydw78Pvg
White Castle,Fast food restaurant,South Side,9450 S Jeffery Blvd,Chicago,60617,Illinois,41.7227961,-87.5758373,3.8,1907,170,140,356,475,766,103,OPERATIONAL,$,True,ChIJc1B55BonDogRp-InimNHLLU
Blackthorn Pub,Sports bar,Mount Greenwood,3300 W 111th St,Chicago,60655,Illinois,41.6916503,-87.7035598,4.3,155,8,2,15,36,94,4,OPERATIONAL,$,True,ChIJKV0avi47DogRowjxsN41ggc
Virgin Hotels Chicago,Hotel,Chicago Loop,203 N Wabash Ave,Chicago,60601,Illinois,41.886059,-87.6260006,4.5,2714,69,57,135,610,1843,3805,OPERATIONAL,,True,ChIJv0qZca8sDogRy4hcGzkHjvY
Hilton Chicago,Hotel,South Loop,720 S Michigan Ave,Chicago,60605,Illinois,41.8722592,-87.624696,4.3,8880,409,320,748,2325,5078,15099,OPERATIONAL,,True,ChIJL3osJJksDogRodsJu9TjTQA
White Castle,Fast food restaurant,South Side,11050 S Halsted St,Chicago,60628,Illinois,41.6926855,-87.6428004,3.8,1713,180,128,309,380,716,69,OPERATIONAL,$,True,ChIJZ4g5k0skDogRqICb-krMgro
Pita Inn,Mediterranean restaurant,,4710 Dempster St,Skokie,60076,Illinois,42.041079,-87.7451748,4.6,5762,155,68,265,982,4292,1834,OPERATIONAL,$,True,ChIJzZCTJnLPD4gRzVsT2gjPozI
LongHorn Steakhouse,Steak house,,7070 W Forest Preserve Dr,Norridge,60706,Illinois,41.955506,-87.804609,4.4,2503,112,86,175,547,1583,1224,OPERATIONAL,$$,True,ChIJpxrRtbnLD4gRvEN24lB_CIg
White Castle,Fast food restaurant,South Side,3205 S Ashland Ave,Chicago,60608,Illinois,41.835144,-87.6652374,3.9,1551,145,86,251,355,714,161,OPERATIONAL,$,True,ChIJESF-MsgtDogRVDjUP4eYVPE
Galleria Market,Convenience store,Near North Side,340 W Superior St,Chicago,60654,Illinois,41.8957152,-87.6373156,4.0,184,19,9,22,44,90,184,OPERATIONAL,$$,True,ChIJu87Gr0rTD4gRYXUuzzD3PYI
SEN Sushi Bar,Sushi restaurant,,814 S Oak Park Ave,Oak Park,60304,Illinois,41.87366,-87.793908,4.7,664,13,10,19,95,527,488,OPERATIONAL,$$,True,ChIJLc0KfZM0DogR4TDnmxA0Yqw
White Castle,Fast food restaurant,Grand Crossing,1550 E 79th St,Chicago,60619,Illinois,41.7517927,-87.5867617,3.8,1931,178,128,365,461,799,98,OPERATIONAL,$,True,ChIJJZ7JyY0oDogRcxg9bh7Rgsg
Regalia bar & restaurant,Italian restaurant,Edgewater,5959 N Broadway,Chicago,60660,Illinois,41.9906259,-87.6600204,4.8,319,3,3,3,28,282,247,OPERATIONAL,$$,True,ChIJzWYQxLfRD4gRHbkOtoZ9Xq0
