place_id,name,site,type,borough,street,city,zip,state,latitude,longitude,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,business_status,range,verified
ChIJ-9lDyTfXDIgR5T7Epw42dnI,Domino's Pizza,https://www.dominos.com/en/?utm_source=google,Pizza delivery,Campustown,55 E Green St,Champaign,61820,Illinois,40.1100769,-88.2396023,3.2,308.0,112.0,17.0,19.0,32.0,128.0,54,OPERATIONAL,$,True
ChIJyX1CkzjXDIgRR1ZMZb1javk,Sakanaya,http://www.sakanayarestaurant.com/,Sushi restaurant,Campustown,403 E Green St,Champaign,61820,Illinois,40.1101686,-88.2330793,4.6,1075.0,31.0,15.0,39.0,172.0,818.0,1139,OPERATIONAL,$$,True
ChIJ5WiQ4vHXDIgRw60J2G5E3UA,Martinelli's Market - Bakery & Deli,http://martinellismarketchampaign.com/,Restaurant,Downtown Champaign,500C N Walnut St,Champaign,61820,Illinois,40.1202821,-88.2410802,4.3,118.0,7.0,5.0,9.0,18.0,79.0,271,OPERATIONAL,$$,True
ChIJM-BYEi_XDIgRP4M9Fhv9dAQ,GG HotPot 久香火锅,https://mwx.fantuan.ca/store/Restaurant/us-14583?f_promotion=56577,Restaurant,,505 S Neil St Ste 7,Champaign,61820,Illinois,40.1110535,-88.2441408,4.5,75.0,5.0,1.0,2.0,7.0,60.0,215,OPERATIONAL,$,True
ChIJsTQKkpvXDIgR93eLxzI1img,Peking Garden Restaurant,http://www.pekinggardenil.com/,Chinese restaurant,Downtown Champaign,206 N Randolph St,Champaign,61820,Illinois,40.1179742,-88.245036,4.3,103.0,13.0,3.0,3.0,10.0,74.0,188,OPERATIONAL,$$,True
ChIJ6bOXKC3XDIgRZLWh1ebVEpU,Great American Grill,,Restaurant,,1501 S Neil St,Champaign,61820,Illinois,40.0989,-88.246075,3.5,11.0,2.0,0.0,3.0,2.0,4.0,1,OPERATIONAL,,False
ChIJyatzUzTXDIgRFkXxwdEmtmc,Little Caesars Pizza,https://littlecaesars.com/en-us/store/10838,Pizza restaurant,,703 S Neil St SUITE A,Champaign,61820,Illinois,40.1084788,-88.2439257,3.6,433.0,80.0,34.0,63.0,75.0,181.0,35,OPERATIONAL,$,True
ChIJJf4c52TRDIgR-O8xeyTZQ3w,Moki Sushi,http://mokisushichampaign.com/,Sushi restaurant,,2017 S Neil St,Champaign,61820,Illinois,40.0917333,-88.2476428,3.5,539.0,118.0,44.0,45.0,91.0,241.0,564,OPERATIONAL,,True
ChIJAczTOz_XDIgRqWfwfdK_K2U,Kung Fu Tea,https://kungfutea.com/,Bubble tea store,Campustown,707 S 6th St Suite 107,Champaign,61820,Illinois,40.1096361,-88.2306444,4.5,428.0,17.0,8.0,22.0,89.0,292.0,603,OPERATIONAL,$,True
ChIJp2VVbT_XDIgR5Wxw1qbuiqc,Teamoji - Champaign,https://pos.chowbus.com/online-ordering/store/293,Bubble tea store,Campustown,625 E Green St,Champaign,61820,Illinois,40.1101291,-88.2293635,4.4,327.0,18.0,12.0,18.0,61.0,218.0,404,OPERATIONAL,$$,True
ChIJkUNL8TfXDIgRhQn49u2iZWY,Chopstix,,Chinese restaurant,Campustown,202 E Green St Unit 1,Champaign,61820,Illinois,40.1103386,-88.236804,3.4,275.0,64.0,21.0,28.0,53.0,109.0,349,OPERATIONAL,$,True
ChIJF9N0C7XXDIgR84bKydTtxOA,Jimmy John's,https://locations.jimmyjohns.com/il/champaign/sandwiches-9025.html?utm_source=google%20my%20business,Sandwich shop,Campustown,601 E Green St,Champaign,61820,Illinois,40.1101783,-88.2301855,3.1,25.0,10.0,1.0,2.0,1.0,11.0,15,OPERATIONAL,$,True
ChIJnTXDjTXXDIgRFJKEmxYxbrQ,Fat City Bar and Grill,,Bar & grill,,505 S Chestnut St,Champaign,61820,Illinois,40.1109621,-88.2426293,4.3,166.0,10.0,4.0,11.0,49.0,92.0,133,OPERATIONAL,$,False
ChIJuwfHnzXXDIgRrzUXIK0ix3g,Dunkin',https://locations.dunkindonuts.com/en/il/champaign/515-s.-neil-st/336486?utm_source=google,Coffee shop,,515 S Neil St,Champaign,61820,Illinois,40.1104721,-88.2439363,3.8,523.0,71.0,34.0,68.0,100.0,250.0,61,OPERATIONAL,$,True
ChIJG55faz_XDIgR1_yaJBM_HQI,Dunkin',https://locations.dunkindonuts.com/en/il/champaign/607-e-green-st/347329?utm_source=google,Coffee shop,Campustown,607 E Green St,Champaign,61820,Illinois,40.1101111,-88.2299792,3.9,209.0,29.0,8.0,23.0,38.0,111.0,56,OPERATIONAL,$,True
