station_name,latitude,longitude
Clarendon St at Newbury St,42.35155308466532,-71.0756903143556
Shawmut Ave at Oak St W,42.348545434111976,-71.06559185315746
Smith Pl at Wilson Rd,42.39239749145835,-71.15058331757609
Broadway at Lynde St,42.39648358247693,-71.06546759905541
Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398
N. Beacon St at N. Beacon Ct,42.3644415713911,-71.18091373646166
Marion St at Harvard St,42.33978052668946,-71.12133350232398
Bowdoin St at Quincy St,42.30785224238503,-71.06512248516083
Porter Square Station,42.387995,-71.119084
Beacon St at Charles St,42.35605200000001,-71.069849
Maverick Square - Lewis Mall,42.368844082898356,-71.03977829217911
Rogers St & Land Blvd,42.36575798214837,-71.07699394226073
Huron Ave At Vassal Lane,42.381650612901176,-71.13426981498378
Congress St at Boston City Hall,42.36041774637169,-71.05752243543975
Lesley University,42.38674802045056,-71.11901879310608
W Broadway at D St,42.3391085,-71.05144320000002
Andrew T Stop - Dorchester Ave at Dexter St,42.33047365041517,-71.05701684951781
Central Square East Boston,42.37544912547037,-71.03918548682486
Blue Hill Ave at Southwood St,42.31786020589988,-71.07798628527235
Perry Park,42.379273246008395,-71.10341902831351
Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105
7 Acre Park,42.411432229734075,-71.06823265090497
Alewife Station at Russell Field,42.396105,-71.139459
South Boston Library - 646 E Broadway,42.335741,-71.03877
Western Ave at Richardson St,42.36178741066188,-71.14393111327445
Maverick St at Massport Path,42.36774122306014,-71.0333597474255
Galileo Galilei Way at Main Street,42.36300378156009,-71.08974037706501
Adams St at Lonsdale St,42.291679428741226,-71.05726346409938
Washington St at Myrtle St,42.38170675920826,-71.0837718658604
Ashmont T Stop,42.2856944,-71.0641389
Rowes Wharf at Atlantic Ave,42.357143,-71.050699
Grove St at Community Path,42.396386809455,-71.12011306006025
Post Office Square,42.355854355220046,-71.05459745998813
700 Huron Ave,42.38078817291429,-71.15412890911101
Teele Square,42.40231703379005,-71.12671129423688
Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354
Main St at Baldwin St,42.380857,-71.070629
Fresh Pond Reservation,42.38267827521855,-71.143478951426
Museum of Science,42.36769018024484,-71.07116281986238
Airport T Stop - Bremen St at Brooks St,42.374079742097614,-71.03276392826956
Surface Rd at Summer St,42.35294569782582,-71.05656400803126
Discovery Park - 30 Acorn Park Drive,42.39790817368333,-71.14797130814624
Four Corners - 157 Washington St,42.304127927390155,-71.07929527759552
MIT Carleton St at Amherst St,42.36054174140607,-71.08669817447662
University of Massachusetts Boston - Campus Center,42.31218918475611,-71.03648586203235
Northbourne Rd at Hyde Park Ave,42.29118034790426,-71.117736660035
Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098
Chelsea St at Vine St,42.403280569725325,-71.04762639859473
Fan Pier,42.353390507052296,-71.04457139968872
Centre St at Seaverns Ave,42.3121203,-71.11429809999998
One Memorial Drive,42.36161932076685,-71.08043550520959
Magoun Square at Trum Field,42.39778339961249,-71.10594004465382
Porzio Park,42.36411903523153,-71.02876782417296
Chelsea St at Saratoga St,42.379772,-71.02744799999998
JFK/UMass T Stop,42.320339735157226,-71.05118036270143
Ball Sq,42.399182599302506,-71.11104454854285
Roxbury YMCA - Warren St at MLK Blvd,42.31787329345602,-71.08243077993394
Langley Lot,42.330528,-71.192861
Mass Ave at Grafton St,42.40726052447951,-71.14382132425817
State Street at Channel Center,42.344137,-71.05260799999998
Main St at Thompson Sq,42.374878467440965,-71.0638349876717
Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347
Park St at Norwell St,42.29442578670662,-71.07821760713703
High St at Cypress St,42.32538435700882,-71.12177595532556
Arsenal Yards,42.36277388549605,-71.15764854490408
Bennington St at Byron St,42.383532520117896,-71.01619094610214
Broad St at Central St,42.358494490393035,-71.05426469875967
Coolidge Sq.,42.372076114722866,-71.15683130688922
Mass Ave at Hadley/Walden,42.39120971915856,-71.12260755160605
Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304
Marion St at White St,42.38066930871317,-71.03907315999093
Linwood St at Minuteman Bikeway,42.40935395518158,-71.14906518727365
Vassal Lane at Tobin/VLUS,42.3839322489048,-71.13961271959852
Williams St at Washington St,42.306539,-71.107669
East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.03943100000002
Centre St at W. Roxbury Post Office,42.286331991127746,-71.1534475536973
Columbia Rd at Ceylon St,42.309572,-71.0729
Thetford Ave at Norfolk St,42.286212948246096,-71.07942931372236
Dudley Square - Bolling Building,42.32984299351809,-71.08386572459494
Roslindale Village - Washington St,42.28630716010807,-71.12820532182013
Bunker Hill Community College,42.37408991426522,-71.06905996799469
Walnut Ave at Warren St,42.324081,-71.083235
Cypress St at Clark Playground,42.32784317478686,-71.1253622174263
Codman Square Library,42.28736110000001,-71.071111
Clarendon Hill at Broadway,42.406302,-71.132446
Day Sq,42.379295,-71.027733
Glendale Square (Ferry St at Broadway),42.414272942939924,-71.04479655659816
ID Building West,42.344796,-71.031614
Everett Square (Broadway at Chelsea St),42.40725945172653,-71.05546381333625
Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539
