neighbourhood,room_type,bathrooms,bedrooms,price,number_of_reviews,review_score,is_superhost
North Center,Entire home/apt,3.0,3.0,138.0,114,96.0,1
North Center,Private room,1.0,1.0,99.0,235,98.0,1
Near North Side,Entire home/apt,2.0,2.0,299.0,156,98.0,1
Logan Square,Entire home/apt,1.0,1.0,115.0,135,99.0,1
Lake View,Entire home/apt,1.0,2.0,75.0,326,95.0,0
West Town,Entire home/apt,2.0,2.0,197.0,111,98.0,1
West Town,Entire home/apt,1.0,2.0,66.0,207,96.0,1
West Town,Entire home/apt,2.5,3.0,182.0,145,97.0,1
Logan Square,Entire home/apt,2.0,5.0,140.0,134,99.0,1
East Garfield Park,Private room,2.5,1.0,27.0,402,96.0,0
Near West Side,Entire home/apt,1.5,3.0,65.0,252,97.0,0
East Garfield Park,Private room,2.5,1.0,21.0,353,97.0,0
Lincoln Park,Entire home/apt,1.0,1.0,65.0,105,96.0,1
East Garfield Park,Private room,2.5,1.0,24.0,377,96.0,0
Near West Side,Entire home/apt,1.0,2.0,59.0,328,85.0,0
West Town,Private room,1.0,1.0,77.0,156,99.0,1
Lake View,Entire home/apt,2.0,4.0,147.0,167,95.0,1
West Town,Private room,1.0,1.0,71.0,113,97.0,1
Logan Square,Entire home/apt,1.0,1.0,72.0,120,97.0,1
Lincoln Square,Private room,1.0,1.0,31.0,167,99.0,1
Hyde Park,Private room,2.0,1.0,70.0,177,97.0,0
Hyde Park,Private room,1.0,1.0,80.0,158,96.0,1
Hyde Park,Private room,2.0,1.0,70.0,179,96.0,0
Bridgeport,Entire home/apt,1.0,1.0,48.0,147,94.0,1
Logan Square,Entire home/apt,1.0,1.0,76.0,154,97.0,1
Lincoln Park,Private room,1.0,1.0,39.0,102,92.0,1
West Town,Private room,1.0,1.0,51.0,175,96.0,0
Hermosa,Entire home/apt,1.0,2.0,60.0,328,98.0,0
Uptown,Entire home/apt,1.0,1.0,71.0,267,98.0,1
Edgewater,Entire home/apt,1.0,2.0,150.0,122,100.0,1
Edgewater,Entire home/apt,1.0,2.0,125.0,107,99.0,0
West Town,Entire home/apt,1.0,1.0,99.0,231,98.0,1
West Town,Entire home/apt,1.0,2.0,159.0,156,98.0,0
Logan Square,Entire home/apt,1.0,2.0,64.0,485,98.0,1
West Town,Private room,1.0,1.0,78.0,195,96.0,0
Grand Boulevard,Entire home/apt,2.0,3.0,68.0,137,88.0,0
Lake View,Entire home/apt,1.0,1.0,55.0,221,95.0,1
Logan Square,Entire home/apt,1.0,2.0,42.0,338,93.0,1
Near North Side,Entire home/apt,2.5,4.0,169.0,224,99.0,1
Edgewater,Private room,1.0,1.0,38.0,203,96.0,0
Logan Square,Entire home/apt,1.0,2.0,136.0,234,96.0,0
Oakland,Private room,1.0,1.0,50.0,124,98.0,1
West Town,Private room,1.0,1.0,41.0,226,99.0,1
Lower West Side,Private room,1.0,1.0,23.0,101,97.0,1
West Town,Entire home/apt,1.0,1.0,59.0,170,91.0,0
West Town,Entire home/apt,2.0,3.0,162.0,111,98.0,1
North Center,Entire home/apt,1.0,1.0,109.0,120,98.0,1
Edgewater,Entire home/apt,1.5,3.0,83.0,106,96.0,0
Edgewater,Private room,1.0,1.0,48.0,161,99.0,1
North Center,Entire home/apt,1.0,2.0,161.0,143,97.0,1
Near North Side,Private room,1.0,1.0,80.0,479,99.0,1
Near South Side,Entire home/apt,1.0,1.0,78.0,148,88.0,0
Near West Side,Entire home/apt,1.0,1.0,136.0,183,99.0,1
Near North Side,Entire home/apt,1.0,2.0,500.0,117,94.0,1
Near West Side,Entire home/apt,2.0,2.0,97.0,221,96.0,1
Lake View,Entire home/apt,2.0,3.0,187.0,120,100.0,1
Hyde Park,Private room,1.0,1.0,40.0,156,96.0,0
Lincoln Park,Entire home/apt,1.0,1.0,68.0,178,89.0,0
Rogers Park,Entire home/apt,1.5,3.0,176.0,168,100.0,1
Lake View,Entire home/apt,1.0,2.0,115.0,169,99.0,1
